titleId,title,averageRating,numVotes,startYear,runtimeMinutes,genre1,genre2,overview,poster_path,backdrop_path,popularity,production_companies_name,nconst_director,Director_name,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10
tt0114563,Street Fighter II: Le film,7.2,9864.0,1994.0,102.0,Action,Adventure,"Bison, the ruthless leader of the international terrorist organization Shadowlaw, has been desperately searching for the greatest fighter on the planet for years. He finds it in Ryu, a young wanderer who never stays in one place long enough for Bison to find him. He does, however, get a fix on Ken Masters, an American martial arts champion who studied with Ryu as a child under the same master. Meanwhile, Major Guile of the United States Army is forced to team up with Chun Li from China in hopes of apprehending Bison and putting a stop his international ring of crime.",/dZ1rqmE4eIhPbUCr7sn2Pw2wwGW.jpg,/reMt35KtqTTIy0mhcKA1PfuruDq.jpg,14.304,"Group TAC, Sony Music Entertainment (Japan), CAPCOM",nm0837485,Gisaburô Sugii,Ginzô Matsuo, Yôko Sasaki, Daisuke Gôri, Masakatsu Funaki, Masane Tsukayama, Miki Fujitani, Kenji Haga, Kôjiro Shimizu, Shôzô Îzuka, Yukimasa Kishino
tt0114608,Le cavalier du diable,6.7,26243.0,1995.0,92.0,Action,Fantasy,"Ex-soldier Frank Brayker is the guardian of an ancient key that can unlock tremendous evil; the sinister Collector is a demon who wants the key so he can initiate the apocalypse. On the run from wicked mercenaries for almost 90 years, Brayker finally stops in at a boarding house in New Mexico where — with the help of its residents — he plans to face off against the Collector and his band of ghouls, preventing them from ever seizing the key.",/1TekTWa1htkb554KDplTXskQupo.jpg,/6qciYslUAXbeAQ0igoAWExAhZgE.jpg,15.972,"Universal Pictures, Tales From The Crypt Holdings",nm0225416,Ernest R. Dickerson,John Schuck, CCH Pounder, Tim DeZarn, William Sadler, Dick Miller, Jada Pinkett Smith, Charles Fleischer, Billy Zane, Thomas Haden Church, Brenda Bakke
tt0114681,Prête à tout,6.8,52555.0,1995.0,106.0,Comedy,Crime,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,/hkQonhCuDyjRmhFsFrCK0XnW7kk.jpg,10.468,"Columbia Pictures, The Rank Organisation",nm0001814,Gus Van Sant,Nicole Kidman, Casey Affleck, Illeana Douglas, Joaquin Phoenix, Matt Dillon, Kurtwood Smith, Wayne Knight, Alison Folland, Dan Hedaya, Holland Taylor
tt0114682,Extravagances,6.7,36404.0,1995.0,109.0,Comedy,Drama,"A cross country trip to Hollywood is cut short by an unreliable engine & an unpleasant encounter with law enforcement. With the power of drag, three self proclaimed career-girls bring a bit of much needed beauty to rural middle America!",/8bkJiI6N8wDxAtQ49bLUt0qCBII.jpg,/cDl271jLuysm3Oe6LAzpQ2ZVHw5.jpg,15.411,"Amblin Entertainment, Universal Pictures",nm0452319,Beeban Kidron,Patrick Swayze, Wesley Snipes, Jason London, Arliss Howard, Chris Penn, Melinda Dillon, Blythe Danner, Stockard Channing, Beth Grant, John Leguizamo
tt0114694,Le courage d'un con,7.1,96921.0,1995.0,97.0,Adventure,Comedy,"To save the family business, two ne’er-do-well traveling salesmen hit the road with disastrously funny consequences.",/cUvdzCbhLyYUAwbIkBjT3tC28cK.jpg,/chJF1c4coUtVkQdv5u1YUn6H1Wm.jpg,11.804,Paramount,nm0781842,Peter Segal,Chris Farley, Clinton Turnbull, David Spade, Brian Dennehy, Dan Aykroyd, Zach Grenier, Bo Derek, Julie Warner, Sean McCann, James Blendick
tt0114702,Eclipse totale,6.5,16742.0,1995.0,111.0,Biography,Drama,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",/e0j1zDF3ITeTbGTXFGamosCxT4z.jpg,/3FYltaTkmrFeVquPOXbAXgYVuqZ.jpg,12.096,"FIT Productions, Portman Productions, SFP",nm0002140,Agnieszka Holland,Félicie Pasotti, David Thewlis, Dominique Blanc, Denise Chalem, Andrzej Seweryn, Leonardo DiCaprio, Emmanuelle Oppo, Nita Klein, James Thierrée, Romane Bohringer
tt0114746,L'Armée des 12 singes,8.0,645511.0,1995.0,129.0,Mystery,Sci-Fi,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg,29.184,"Atlas Entertainment, Universal Pictures, Classico",nm0000416,Terry Gilliam,Bob Adrian, H. Michael Walls, Madeleine Stowe, Joseph Melito, Brad Pitt, Michael Chance, Jon Seda, Bruce Willis, Simon Jones, Vernon Campbell
tt0114814,Usual Suspects,8.5,1142435.0,1995.0,106.0,Crime,Drama,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg,27.634,"Blue Parrot Productions, Bad Hat Harry Productions",nm0001741,Bryan Singer,Kevin Spacey, Kevin Pollak, Pete Postlethwaite, Suzy Amis, Giancarlo Esposito, Stephen Baldwin, Chazz Palminteri, Dan Hedaya, Benicio Del Toro, Gabriel Byrne
tt0114887,Les vendanges de feu,6.7,36526.0,1995.0,102.0,Drama,Romance,World War II vet Paul Sutton falls for a pregnant and unwed woman who persuades him -- during their first encounter -- to pose as her husband so she can face her family.,/xencQzZnUWDRAOUydjf9PWet8Ae.jpg,/mcI5QGUNncahaDqsIJKmoPuGywY.jpg,30.116,"Zucker Brothers Productions, 20th Century Fox",nm0000778,Alfonso Arau,Freddy Rodríguez, Anthony Quinn, Aitana Sánchez-Gijón, Angélica Aragón, Keanu Reeves, Febronio Covarrubias, Debra Messing, Evangelina Elizondo, Giancarlo Giannini, Roberto Huerta
tt0114898,Waterworld,6.3,209311.0,1995.0,135.0,Action,Adventure,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship.",/nyCA6UfqEPsH1lqL6YVtVf0KwwN.jpg,/hJleEkILmKzJsvzrU8o5d66jbPa.jpg,25.524,"Licht/Mueller Film Corporation, Gordon Company, Universal Pictures, Davis Entertainment",nm0721817,Kevin Reynolds,Dennis Hopper, Zitto Kazann, Rick Aviles, Jeanne Tripplehorn, Zakes Mokae, Kevin Costner, Tina Majorino, Chaim Jeraffi, R.D. Call, Leonardo Cimino
